행정구역별(읍면동),연령별,2019,2019,2019,2019,2019,2019,2019,2019
행정구역별(읍면동),연령별,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
　　　고양시,합계,"1,024,645","501,941","522,704",96.0,"1,005,549","491,852","513,697",95.7
　　　덕양구,합계,"448,571","221,937","226,634",97.9,"441,142","218,274","222,868",97.9
　　　일산동구,합계,"287,041","139,807","147,234",95.0,"280,372","135,930","144,442",94.1
　　　일산서구,합계,"289,033","140,197","148,836",94.2,"284,035","137,648","146,387",94.0
　　　과천시,합계,"53,830","26,584","27,246",97.6,"53,413","26,355","27,058",97.4
　　　구리시,합계,"192,270","95,221","97,049",98.1,"190,207","94,208","95,999",98.1
　　　남양주시,합계,"681,077","339,886","341,191",99.6,"670,201","333,319","336,882",98.9
　　　오산시,합계,"233,998","120,893","113,105",106.9,"218,910","112,986","105,924",106.7
　　　시흥시,합계,"508,749","269,625","239,124",112.8,"458,466","239,821","218,645",109.7
　　　군포시,합계,"275,154","136,614","138,540",98.6,"264,719","131,183","133,536",98.2
　　　의왕시,합계,"155,826","77,677","78,149",99.4,"154,005","76,719","77,286",99.3
　　　하남시,합계,"260,544","130,979","129,565",101.1,"256,981","128,909","128,072",100.7
　　　용인시,합계,"1,052,529","525,139","527,390",99.6,"1,024,132","508,761","515,371",98.7
　　　처인구,합계,"266,647","138,547","128,100",108.2,"252,024","129,137","122,887",105.1
　　　기흥구,합계,"434,075","214,565","219,510",97.7,"424,982","209,966","215,016",97.7
　　　수지구,합계,"351,807","172,027","179,780",95.7,"347,126","169,658","177,468",95.6
　　　파주시,합계,"454,328","233,834","220,494",106.1,"437,840","222,198","215,642",103.0
　　　이천시,합계,"222,995","115,769","107,226",108.0,"211,978","109,094","102,884",106.0
　　　안성시,합계,"202,284","105,953","96,331",110.0,"184,506","94,517","89,989",105.0
　　　김포시,합계,"442,910","229,269","213,641",107.3,"414,839","207,712","207,127",100.3
　　　화성시,합계,"838,635","444,058","394,577",112.5,"781,512","403,808","377,704",106.9
　　　광주시,합계,"375,238","194,288","180,950",107.4,"356,432","181,623","174,809",103.9
　　　양주시,합계,"224,684","115,541","109,143",105.9,"213,908","107,708","106,200",101.4
　　　포천시,합계,"159,871","87,476","72,395",120.8,"140,938","73,405","67,533",108.7
　　　여주시,합계,"111,981","57,249","54,732",104.6,"106,631","53,999","52,632",102.6
　　　연천군,합계,"42,540","22,578","19,962",113.1,"41,111","21,565","19,546",110.3
　　　가평군,합계,"59,823","30,360","29,463",103.0,"58,294","29,676","28,618",103.7
　　　양평군,합계,"111,836","56,004","55,832",100.3,"109,413","54,907","54,506",100.7
　　　읍부,합계,"256,203","131,052","125,151",104.7,"251,290","128,300","122,990",104.3
　　　면부,합계,"350,394","181,717","168,677",107.7,"341,959","176,831","165,128",107.1
　　　동부,합계,"913,530","454,948","458,582",99.2,"899,870","447,967","451,903",99.1
　　　춘천시,합계,"284,753","140,095","144,658",96.8,"278,878","137,000","141,878",96.6
　　　원주시,합계,"349,319","174,245","175,074",99.5,"344,184","171,454","172,730",99.3
　　　강릉시,합계,"216,357","108,707","107,650",101.0,"212,865","106,920","105,945",100.9
　　　동해시,합계,"86,780","44,086","42,694",103.3,"85,575","43,365","42,210",102.7
　　　태백시,합계,"42,474","21,366","21,108",101.2,"42,106","21,259","20,847",102.0
　　　속초시,합계,"78,643","39,015","39,628",98.5,"77,209","38,163","39,046",97.7
　　　삼척시,합계,"67,210","34,827","32,383",107.5,"66,197","34,244","31,953",107.2
　　　홍천군,합계,"66,634","34,090","32,544",104.8,"65,216","33,291","31,925",104.3
　　　횡성군,합계,"44,431","22,615","21,816",103.7,"43,422","22,052","21,370",103.2
　　　영월군,합계,"36,332","18,696","17,636",106.0,"35,813","18,483","17,330",106.7
　　　평창군,합계,"39,657","20,341","19,316",105.3,"39,002","20,051","18,951",105.8
　　　정선군,합계,"35,255","18,390","16,865",109.0,"34,816","18,256","16,560",110.2
　　　철원군,합계,"43,520","22,869","20,651",110.7,"42,433","22,217","20,216",109.9
　　　화천군,합계,"23,425","12,636","10,789",117.1,"23,025","12,443","10,582",117.6
